다카	60	175
사타	79	186
다가	59	154
다마	88	155
마하	51	168
라바	86	166
카파	61	176
가가	81	182
바자	97	143
카마	96	160
바라	49	194
자파	62	169
타타	79	149
다아	96	159
차다	76	169
가사	85	199
파파	41	168
차카	82	199
파가	66	141
타타	60	173
차마	72	153
바다	91	193
아라	71	145
다파	71	175
자아	59	180
나라	69	189
다하	68	146
차가	69	148
하가	77	172
라가	41	152
하다	50	193
하라	77	160
가자	58	145
하아	72	195
파아	68	167
차하	45	149
타아	44	147
마라	95	166
자바	95	190
마자	67	159
카파	99	156
바아	56	170
다자	73	187
타타	40	195
가바	56	166
파라	81	177
바마	64	144
바카	98	187
카바	73	153
아가	93	172
차가	75	179
자사	50	191
다나	43	175
사타	72	185
다라	47	193
다파	71	181
다라	83	156
아나	94	196
바아	74	178
카파	60	170
사아	47	164
타바	64	158
가카	68	150
다차	97	155
자나	99	143
타나	62	157
카마	72	184
다파	62	191
나차	56	179
라나	86	144
마나	61	197
다하	53	171
다타	89	184
마타	46	140
라가	68	174
나하	90	170
사사	97	175
차파	86	199
카카	42	166
라다	40	190
차가	43	140
자가	95	195
가자	98	147
하사	65	177
차파	90	180
카하	55	180
다카	89	192
바차	97	182
하하	91	140
차아	77	173
마바	52	141
하차	54	163
아하	55	140
다마	94	187
다라	54	145
아나	97	194
차다	60	180
타차	74	198
카타	42	172
사타	95	162
카다	51	166
하아	91	196
차라	96	146
파차	48	181
차자	93	171
자라	75	149
마사	97	190
타자	50	142
사라	99	186
차아	50	164
차파	94	148
마차	72	157
다파	66	152
하가	95	145
차타	92	184
가라	88	144
가마	55	177
다가	87	144
파나	73	190
차바	49	163
하바	72	140
자차	83	162
사자	71	146
가카	97	194
나자	81	170
바카	97	191
자나	96	195
타자	50	167
자아	72	167
하타	57	194
다타	89	160
가바	72	164
파사	51	195
마차	40	158
파차	59	188
차자	76	143
차바	46	164
하라	43	185
하자	93	192
라하	70	173
라사	60	197
차하	79	143
자아	55	149
카라	83	142
다라	74	184
차타	88	171
차차	75	155
아가	87	172
바자	56	195
타하	77	177
사사	60	169
사자	95	156
타아	70	151
다자	79	162
자자	71	166
라라	48	173
가차	91	152
다가	41	159
하마	67	178
카차	83	194
자아	60	158
하다	70	184
다아	71	196
사카	58	179
카사	68	164
사자	53	177
가가	81	197
타타	57	145
바가	61	154
가라	96	184
가다	83	178
가사	81	160
하아	45	190
카카	47	152
마타	55	151
마자	53	185
다바	91	181
카차	86	175
바라	96	145
다다	75	154
마가	76	177
라바	67	142
아바	70	148
다사	92	188
라나	58	153
하바	72	147
차자	45	190
마아	42	178
자하	72	144
자카	98	171
바카	41	171
나나	43	176
파마	55	162
바바	78	171
파가	67	171
하나	40	154
가자	97	166
타아	85	176
아사	76	153
바가	75	152
가나	91	159
타차	52	147
차바	82	177
마마	77	178
카바	47	192
차마	51	188
아라	48	164
마자	41	180
바아	40	184
파타	77	175
바아	79	163
차타	61	150
라나	53	169
카아	44	170
나사	46	163
카나	51	165
하아	73	198
바사	72	187
나하	86	195
아가	66	167
카파	67	198
타마	48	148
자가	46	145
마카	41	190
파타	51	153
사하	66	184
사가	75	182
나차	41	171
카카	85	158
타자	68	181
파나	59	198
가나	77	156
사아	98	196
마자	97	175
나사	99	189
다아	82	158
파다	43	147
마다	59	184
사마	48	178
파카	87	149
나가	60	147
라자	61	183
차가	79	148
나사	85	173
아자	48	167
라가	42	156
차마	60	145
파차	51	181
다카	43	185
사가	68	185
차나	65	158
파타	68	187
카파	49	140
라카	45	152
카하	83	188
다파	91	163
다아	76	175
차다	63	176
자나	59	185
아카	49	181
가나	65	193
카파	80	162
사자	88	170
마하	72	197
라사	55	159
사나	77	154
아마	50	165
가자	49	157
타파	90	167
하다	54	184
자다	50	143
다마	64	159
차나	96	170
가바	41	172
사파	86	198
사파	53	140
라자	49	178
카자	57	197
타바	68	160
가하	65	172
사라	80	191
카나	53	198
라차	84	197
다타	97	145
라바	76	195
나카	92	165
가하	55	152
바카	40	169
타마	89	181
차바	94	158
자타	42	192
다하	85	177
아카	73	141
라바	81	189
다타	50	187
아바	50	172
파가	51	147
카하	79	155
자나	63	162
하사	85	147
자자	94	172
자아	91	167
나파	45	171
사마	57	186
가아	80	173
마차	64	192
나하	79	184
아마	47	191
나바	75	165
타마	87	157
아파	71	191
자카	73	179
라자	78	173
타하	66	174
나차	81	159
자나	72	177
파아	91	183
나나	98	161
사라	62	199
가차	96	176
아마	89	163
파차	82	143
마다	67	196
아나	89	144
아라	62	188
나라	75	192
아마	98	160
아타	59	153
사다	91	170
라다	48	167
나마	87	189
가아	49	171
라마	88	168
아자	65	191
차가	45	191
타마	95	168
카파	80	159
카사	70	187
아나	99	183
아카	43	146
다아	69	169
자파	67	180
파바	44	155
아가	56	166
마바	71	148
가사	42	143
카카	44	176
차마	72	141
사하	51	186
타나	89	150
라바	78	152
마카	76	193
차바	66	167
마파	45	192
라자	68	185
사가	87	161
하타	86	143
하타	75	189
차나	77	174
나사	65	183
가카	78	147
타하	94	168
마카	53	178
마바	54	160
라라	53	168
마아	40	150
차라	52	159
파사	88	160
나타	77	195
파타	82	177
파파	81	184
사파	55	195
가아	50	160
라다	82	196
카마	68	150
타파	71	161
파다	63	160
바차	81	193
차파	74	144
타라	43	142
카라	91	186
아라	88	187
타사	40	194
사다	66	175
자바	90	187
사아	76	188
자나	55	192
다다	56	144
마다	96	175
라마	77	166
차나	93	146
마차	43	176
다카	55	162
타사	91	171
사바	70	186
카바	65	141
다타	48	156
하마	96	147
라다	88	185
파차	88	197
라라	77	193
라아	42	146
카차	61	183
파타	82	150
가카	88	144
사자	55	154
차타	42	165
차파	52	182
자파	65	172
마나	50	179
나가	91	152
타자	64	169
차바	62	152
나바	40	155
타가	96	149
가가	89	171
차타	70	161
파하	64	169
카타	46	154
마가	64	196
차라	97	173
하나	55	164
바나	93	174
타바	85	178
다가	53	162
다아	93	185
타나	71	149
사카	83	185
바자	76	199
파타	96	172
가카	68	187
자아	50	142
차사	76	163
차카	47	188
가가	72	147
카아	73	149
마마	44	189
다다	62	192
다차	42	191
마자	80	192
다카	58	193
라다	70	160
라마	41	152
하아	80	179
타하	81	184
다차	56	158
사라	71	194
마아	86	193
카자	69	154
파가	75	158
타다	91	185
차차	49	149
다파	50	166
파하	62	181
사카	68	191
타차	78	174
자가	64	140
가라	48	194
가바	82	154
자아	93	161
라차	71	157
나바	94	199
바바	45	158
가하	53	176
다라	42	148
바아	48	189
파마	95	162
마파	60	150
타다	60	158
바사	79	157
자카	60	161
라라	69	158
카카	79	196
가아	49	147
하마	66	153
타라	58	179
사마	72	184
파아	44	168
자다	48	194
바바	59	160
자라	88	156
다자	41	161
나바	90	176
자마	43	147
마하	46	183
사아	46	184
다나	55	140
나아	82	166
타타	68	150
자파	49	148
아마	41	186
바카	58	155
나바	61	158
라하	66	143
다아	79	152
카차	47	191
아바	44	147
나자	54	144
나나	67	141
아나	94	161
차나	79	142
타다	94	155
마라	47	189
다라	62	188
파가	52	182
자바	88	163
다차	81	164
차카	82	162
타자	74	171
자사	94	148
가타	56	169
파가	91	140
라나	66	158
카하	65	157
차파	61	171
자자	61	167
마파	97	175
다나	62	163
가라	85	178
가타	92	147
카타	79	170
다타	70	143
파가	50	190
가마	69	168
아타	51	194
사라	47	166
하카	95	161
아나	86	191
차바	75	190
다카	40	181
바사	43	184
다카	53	185
하나	71	159
바바	75	157
차타	69	169
라자	51	154
나바	54	155
다마	87	148
사차	65	159
타사	95	181
차파	61	191
나자	55	149
다사	99	140
마가	51	145
자가	92	176
카카	74	159
가라	68	151
차아	40	150
라아	77	141
나가	96	150
파아	57	194
사카	90	191
나파	67	179
라사	51	140
카파	40	154
라사	67	185
차마	46	161
가타	53	144
카타	69	191
차타	97	150
마바	86	164
사나	97	179
마타	50	142
자하	99	167
아타	91	180
가카	57	167
다자	94	147
타차	60	156
차자	60	192
파다	92	163
차자	56	165
파아	52	181
자카	70	159
자카	55	151
다하	44	197
나바	72	145
하바	40	193
하자	44	199
자바	83	166
타바	88	172
차가	49	180
마사	44	165
자타	91	173
아카	62	181
바타	62	191
사사	48	165
카차	40	146
차사	61	193
아라	91	173
자다	99	155
자가	99	190
차나	87	162
다카	69	187
가라	68	150
타하	71	180
차가	41	190
사카	82	194
아타	43	197
카라	65	159
차타	56	170
카다	50	180
하차	70	176
나마	42	193
가자	46	140
카사	64	164
자바	61	178
다가	97	151
파자	52	170
마차	69	164
바카	95	160
파파	60	185
라사	63	199
아자	70	197
하가	69	185
다아	53	153
카나	68	197
차하	72	141
파파	60	143
바가	86	186
차다	46	188
바자	46	187
라파	97	186
바카	46	187
자아	71	176
바하	47	194
아아	68	142
라파	62	190
자타	80	148
아파	55	187
라사	48	172
타사	82	174
차카	71	152
자마	67	191
사타	91	152
타마	84	151
마자	41	164
카라	57	158
카차	81	164
차나	63	177
다나	59	163
나자	53	151
파나	84	160
라카	54	141
아파	88	166
하자	64	146
차자	92	145
사마	89	190
자차	48	152
타다	60	175
하바	68	158
바마	60	189
사라	40	144
마바	62	185
자카	78	163
카아	61	162
나가	59	186
하라	84	170
바카	72	179
사타	77	151
사마	75	183
가하	74	157
가차	83	148
차하	80	143
다아	70	171
자마	65	180
다파	79	194
파나	45	181
사사	51	140
바나	60	146
나나	87	186
타아	67	146
라파	56	162
타라	98	190
마다	65	142
라가	60	166
파차	57	188
다차	98	177
사다	85	198
카아	64	157
가자	76	192
사타	68	168
카타	99	149
카사	99	172
하자	42	168
파하	84	151
라차	71	180
하자	79	150
하아	54	160
다타	94	199
가사	83	188
마아	46	153
라가	99	194
자바	98	158
타다	67	146
아아	79	174
차다	52	148
가나	99	142
라카	42	174
라타	99	194
나하	48	159
바나	93	184
바하	44	175
자차	99	176
자아	64	140
나나	86	185
다라	50	179
아바	69	148
차카	95	194
마자	91	143
바카	82	160
다라	69	175
하아	74	167
하타	44	165
파다	50	159
아타	63	152
사카	90	175
마나	52	171
하자	94	160
다라	59	182
차카	44	193
바마	64	157
타자	41	176
차라	60	186
바아	78	173
라나	78	178
아다	52	194
자다	70	186
파바	96	142
나하	52	165
하가	45	149
카아	40	148
아가	43	181
자가	57	162
나사	84	164
마차	81	180
나타	96	181
파사	77	167
다다	43	143
카자	54	182
사마	43	172
라바	57	190
마사	69	196
하자	64	159
나타	42	198
사파	95	144
카차	65	162
자다	61	188
타사	85	194
사라	95	164
차카	88	166
카가	56	159
파바	74	195
사아	72	162
나가	85	163
가카	83	165
사다	52	171
바나	47	177
다타	96	150
